FacilityName,StreeetNo,StreetName_Suffix,StreetDirection,UnitNumber,Municipality,Telephone,Fax,LONGITUDE,LATITUDE
No Frills,1135,Thompson Road,,,Fort Erie,(905) 994-8254,(905) 994-8257,-78.9435702626827,42.9076464874012
Sobey's,450,Garrison Road,,,Fort Erie,(905) 871-0463,(905) 871-5044,-78.9301715928933,42.9065257398343
Shoppers Drug Mart,42,St Andrews Avenue,,1,Grimsby,(905) 945-9775,(905) 945-7705,-79.5674449826326,43.1967351437817
Shoppers Drug Mart,5125,Montrose Road,,,Niagara Falls,(905) 357-1100,NULL,-79.1247176584906,43.0994823502654
Busy Bee Food Mart,5203,Victoria Avenue,,,Niagara Falls,(905) 353-8382,NULL,-79.0733337850452,43.0990882243691
Big Bee Convenience & Food Mart,81,Queenston Street,,,St. Catharines,(905) 984-6632,NULL,-79.2356401187815,43.1635412899773
Outlet Collection at Niagara- Pepper Palace,300,Taylor Rd.,,729,Niagara-on-the-Lake,(905) 685-3232,NULL,-79.1720082495293,43.1588975873376
Celi & Presti Supermarket,390,Crowland Avenue,,,Welland,(905) 734-7166,905-734-7067,-79.2358552157967,42.9843649854022
Polonez Meat Market,25,Facer Street,,,St. Catharines,(905) 938-0348,NULL,-79.2273243810631,43.1753257219442
Walmart,102,Primeway Drive,,,Welland,(905) 735-3500,NULL,-79.2278532258093,43.0168721725738
Antipasto di Roma ,87,Hannover Drive,,,St. Catharines,(905) 641-5211,NULL,-79.2785420772553,43.1742441014677
Food Basics,124,Clarence Street,,,Port Colborne,(905) 834-8800,(905) 834-8900,-79.2540513928375,42.8856173545668
Metro,101,Lakeshore Road,,,St. Catharines,(905) 934-0131,NULL,-79.2444768381863,43.2042658843018
Shoppers Drug Mart,815,Ontario Road,,,Welland,905-788-2111,NULL,-79.2402796645236,42.9760290445258
Al Noor,121,Geneva Street,,,St. Catharines,(905) 688-0000,905-688-0006,-79.2407564184382,43.1665851145975
Sobey's,287,Westside Rd.,,,Port Colborne,(905) 834-0220,NULL,-79.2664398395738,42.9049681891314
British Grocer Niagara,3643,Portage Road,,31,Niagara Falls,(905) 354-8882,NULL,-79.1001820812631,43.1202822416571
FreshCo,5931 ,Kalar Road,,,Niagara Falls,(905) 371-3113,NULL,-79.1370094246046,43.0877872202924
FreshCo,835,Ontario Road,,,Welland,(905) 735-2525,(905) 788-1041,-79.2393187820877,42.976158845183
Roman Cheese ,4916,Montrose Road,,,Niagara Falls,(905) 356-2640,NULL,-79.1234682051782,43.1022493345793
Giant Tiger,6161,Thorold Stone Road,,,Niagara Falls,(905) 371-9697,(905) 371-8999,-79.0974590483655,43.115992921714
Dinh Dinh Asian Foods,79,Geneva Street,,,St. Catharines,(905) 685-4977,NULL,-79.2406703987962,43.1641590461334
Hendriks ValuMart ,130,Queen Street,,,Niagara-on-the-Lake,(905) 468-7731,(905) 468-8437,-79.0752291025132,43.2564553850578
Commisso's Fresh Food,6161,Thorold Stone Rd.,,14,Niagara Falls,(905) 357-6600,(905) 357-6604,-79.0974590483655,43.115992921714
Walmart,285,Geneva Street,,,St. Catharines,(905) 646-4566,NULL,-79.243769717313,43.1775141127757
Tigchelaar Berry Farms Market,4297,Jordan Rd.,,,Lincoln,(905) 981-6962,NULL,-79.3581449551745,43.1703448620228
ValuMart,1551 ,Niagara Stone Road,,,Niagara-on-the-Lake,(905) 468-3286,NULL,-79.1198664016663,43.2225625539173
Kurtz Country Market,16006,Niagara Parkway,,,Niagara-on-the-Lake,(905) 468-2937,(905) 468-7479,-79.0621192905279,43.2351688184333
Cheese Secrets,38,Market Street,,,Niagara-on-the-Lake,(905) 468-2555,NULL,-79.0725415055545,43.2548568622634
No Frills,390,Lincoln Street,E,,Welland,(905) 732-3367,905-732-4176,-79.2371734360751,42.9847770103108
Sobey's,34,Livingston Avenue,,,Grimsby,(905) 945-9973,NULL,-79.568410335628,43.1974476433644
Shoppers Drug Mart,6565,Lundy's Lane,,,Niagara Falls,(905) 354-3845,NULL,-79.1043832887406,43.0899765490008
Gallagher's,346,Highway 20,W,,Pelham,(905) 892-0698,NULL,-79.3157717835819,43.0416960319349
Peanut Mill,191,Welland Avenue,,,St. Catharines,(905) 685-8848,NULL,-79.2395301244589,43.1664916891491
Sobey's ,609,South Pelham Road,,,Welland,(905) 735-7467,NULL,-79.2870258301733,43.0041525493836
Joe's ValuMart,311,Gorham Road,,,Fort Erie,(905) 894-5266,(905) 894-3044,-79.0618922834927,42.8832540453232
